"#12 V motor (1) Z axis On the table, run at 12 V, using tape",
Time - Voltage - Voltage,Amplitude - Voltage - Voltage
0.941333,1.395
0.942,1.388
0.942667,1.395
0.943333,1.398
0.944,1.403
0.944667,1.385
0.945333,1.398
0.946,1.403
0.946667,1.398
0.947333,1.385
0.948,1.395
0.948667,1.398
0.949333,1.4
0.95,1.385
0.950667,1.393
0.951333,1.403
0.952,1.395
0.952667,1.393
0.953333,1.398
0.954,1.398
0.954667,1.393
0.955333,1.403
0.956,1.398
0.956667,1.388
0.957333,1.395
0.958,1.398
0.958667,1.39
0.959333,1.395
0.96,1.383
0.960667,1.408
0.961333,1.393
0.962,1.388
0.962667,1.385
0.963333,1.403
0.964,1.4
0.964667,1.395
0.965333,1.403
0.966,1.393
0.966667,1.39
0.967333,1.398
0.968,1.4
0.968667,1.383
0.969333,1.39
0.97,1.406
0.970667,1.411
0.971333,1.388
0.972,1.39
0.972667,1.398
0.973333,1.393
0.974,1.393
0.974667,1.383
0.975333,1.4
0.976,1.39
0.976667,1.4
0.977333,1.39
0.978,1.403
0.978667,1.383
0.979333,1.395
0.98,1.406
0.980667,1.395
0.981333,1.393
0.982,1.39
0.982667,1.406
0.983333,1.393
0.984,1.398
0.984667,1.398
0.985333,1.393
0.986,1.385
0.986667,1.398
0.987333,1.395
0.988,1.398
0.988667,1.39
0.989333,1.395
0.99,1.4
0.990667,1.377
0.991333,1.393
0.992,1.395
0.992667,1.4
0.993333,1.395
0.994,1.388
0.994667,1.395
0.995333,1.393
0.996,1.395
0.996667,1.403
0.997333,1.393
0.998,1.385
0.998667,1.395
0.999333,1.406
1,1.395
1.000667,1.395
1.001333,1.39
1.002,1.39
1.002667,1.403
1.003333,1.406
1.004,1.393
1.004667,1.388
1.005333,1.395
1.006,1.393
1.006667,1.383
1.007333,1.385
1.008,1.395
1.008667,1.393
1.009333,1.393
1.01,1.388
1.010667,1.39
1.011333,1.393
1.012,1.393
1.012667,1.395
1.013333,1.398
1.014,1.395
1.014667,1.395
1.015333,1.411
1.016,1.395
1.016667,1.39
1.017333,1.408
1.018,1.393
1.018667,1.39
1.019333,1.395
1.02,1.403
1.020667,1.39
1.021333,1.388
1.022,1.398
1.022667,1.395
1.023333,1.395
1.024,1.403
1.024667,1.39
1.025333,1.395
1.026,1.395
1.026667,1.395
1.027333,1.4
1.028,1.383
1.028667,1.39
1.029333,1.398
1.03,1.403
1.030667,1.398
1.031333,1.398
1.032,1.385
1.032667,1.39
1.033333,1.398
1.034,1.403
1.034667,1.383
1.035333,1.377
1.036,1.406
1.036667,1.395
1.037333,1.416
1.038,1.403
1.038667,1.398
1.039333,1.383
1.04,1.406
1.040667,1.395
1.041333,1.395
1.042,1.39
1.042667,1.385
1.043333,1.395
1.044,1.39
1.044667,1.395
