"#12V motor run at 12V, 60 seconds, x axis",
Time - Voltage - Voltage_0,Amplitude - Voltage - Voltage_0
0.437667,3.222m
0.438,3.222m
0.438333,675.1u
0.438667,675.1u
0.439,-1.872m
0.439333,-3.146m
0.439667,-1.872m
0.44,1.949m
0.440333,1.949m
0.440667,-1.872m
0.441,-1.872m
0.441333,-5.693m
0.441667,-1.872m
0.442,-3.146m
0.442333,-598.5u
0.442667,1.949m
0.443,675.1u
0.443333,-1.872m
0.443667,-1.872m
0.444,-5.693m
0.444333,-5.693m
0.444667,-3.146m
0.445,675.1u
0.445333,675.1u
0.445667,-3.146m
0.446,-3.146m
0.446333,-5.693m
0.446667,-6.966m
0.447,-1.872m
0.447333,-1.872m
0.447667,1.949m
0.448,1.949m
0.448333,-1.872m
0.448667,-598.5u
0.449,3.222m
